vogel,soort,groep
Aalscholver,trekvogel,2.25
Appelvink,beide,2.11
Blauwe Reiger,trekvogel,1.26
Boomklever,standvogel,1.75
Boomkruiper,standvogel,1.34
Buizerd,standvogel,1.34
Ekster,standvogel,2.12
Fazant,standvogel,2.37
Fuut,trekvogel,2.06
Gaai,standvogel,1.6
Glanskop,standvogel,2.14
Goudhaantje,stanvdvogel,1.57
Goudvink,standvogel,2.14
Grauwe Gans,beide,30.16
Groene Specht,standvogel,1.11
Groenling,beide,3.47
Grote Bonte Specht,standvogel,1.28
Grote Lijster,beide,1.6
Grote Mantelmeeuw,standvogel,5.23
Grote Zilverreiger,standvogel,1.33
Halsbandparkiet,standvogel,3.48
Havik,standvogel,1.23
Heggemus,standvogel,2.12
Houtduif,standvogel,2.28
Huismus,standvogel,9.4
IJsvogel,standvogel,1.05
Kauw,standvogel,21.06
Keep,trekvogel,2.57
Kleine Bonte Specht,standvogel,1.2
Kleine Mantelmeeuw,trekvogel,4.88
Kneu,trekvogel,2.24
Knobbelzwaan,beide,3.12
Kokmeeuw,beide,7.36
Kolgans,trekvogel,53.89
Koolmees,standvogel,4.55
Koperwiek,trekvogel,3.39
Kramsvogel,trekvogel,5.74
Kuifeend,trekvogel,4.85
Kuifmees,standvogel,1.9
Matkop,standvogel,1.98
Meerkoet,standvogel,3.93
Merel,beide,3.13
Nijlgans,trekvogel,3.96
Pimpelmees,standvogel,3.45
Putter,beide,4.07
Ransuil,standvogel,3.52
Ringmus,standvogel,6.4
Roek,beide,6.52
Roodborst,beide,1.4
Sijs,trekvogel,4.43
Sperwer,standvogel,1.1
Spreeuw,beide,5.81
Staartmees,standvogel,4.37
Stadsduif,standvogel,3.88
Steenuil,standvogel,1.4
Stormmeeuw,standvogel,6.43
Tjiftjaf,trekvogel,1.56
Torenvalk,beide,1.2
Turkse Tortel,standvogel,2.95
Vink,beide,3.94
Waterhoen,standvogel,2.74
Wilde Eend,standvogel,6.77
Winterkoning,standvogel,1.23
Zanglijster,trekvogel,1.84
Zilvermeeuw,standvogel,5.57
Zwarte Kraai,standvogel,3.23
Zwarte Mees,standvogel,1.71
Zwartkop,trekvogel,1.39
